Paper_ID,Initials (of screener),Include/Exclude,Inconclusive Note,Exclusion T0: CalCOFI Report,Exclusion T1: Not a target marine species,Exclusion T2: Outdated (older than 1900),Exclusion T3: Not a poleward movement,Exclusion T3: Not in California (at least partially),Latin name,Species reference,Common name,Taxanomic rank,Life stage (verbatim),Planktonic Larval Duration (PLD),Spawn Season,Observation location (verbatim),Latitude (verbatim),Longitude (verbatim),lat_for_plot,Lat for plot origin,lon_for_plot,Lon for plot origin,Year,Month,Day,Time,Historical northern range edge (verbatim),Historical northern range edge reference (if not the paper),Screening Notes
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,"Cape Mendocino, CA",40°24′N,,40.4,Paper,,,2005,spring,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
70,JKS,Include,,,,,,,Tetraclita rubescens,,volcano barnacle,species,,"Pelagic larval duration is ∼3–4 weeks (ES, unpublished data). Metamorphosed barnacles reach sexual maturity at 2 years and may live 10–15 years",June-November,"Burn Hill, OR",42° 23′N,,42.3833,Paper,,,2007,,,,"San Francisco Bay in CA, USA (37°30′N)",Newman & Abbott 1980,"latitude is noted abundance peaks, not whole range, see linked graph for that"
71,BGL,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
72,BGL,Exclude,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
73,BGL,Exclude,Baja only - JKS,,,,,TRUE,Atlanta Brunnea,,,species,,,,Mexican Pacific off the BCP,32º N,110° 00′- 122° 00’ W,,,,,2015-16,"september-november 2015, january 2016, april 2016",,,equitorial and south pacific ocean,,
73,BGL,Exclude,Baja only - JKS,,,,,TRUE,Atlanta echinogyra,,,species,,,,Mexican Pacific off the BCP,~24.5º N,110° 00′- 122° 00’ W,,,,,2015-16,"september-november 2015, january 2016, april 2016",,,Indo-pacific ,,
73,BGL,Exclude,Baja only - JKS,,,,,TRUE,Atlanta frontieri,,,species,,,,Mexican Pacific off the BCP,26.5º N,110° 00′- 122° 00’ W,26.5º N,,,,2015-16,"september-november 2015, january 2016, april 2016",,,"western pacific and indian ocean and equitorial/tropical southeast pacific, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf",,
73,BGL,Exclude,Baja only - JKS,,,,,TRUE,Atlanta gibbosa,,,species,,,,Mexican Pacific off the BCP,24º N,110° 00′- 122° 00’ W,24º N,,,,2015-16,"september-november 2015, january 2016, april 2016",,,"equitorial and tropical zones, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf",,
73,BGL,Exclude,Baja only - JKS,,,,,TRUE,Atlanta helicinoidea,,,species,,,,Mexican Pacific off the BCP,32º N,110° 00′- 122° 00’ W,32º N,,,,2015-16,"september-november 2015, january 2016, april 2016",,,"equitorial and tropical-subtropical zones, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf",,
73,BGL,Exclude,Baja only - JKS,,,,,TRUE,Atlanta plana,,,species,,,,Mexican Pacific off the BCP,25ºN,110° 00′- 122° 00’ W,25ºN,,,,2015-16,"september-november 2015, january 2016, april 2016",,,"eastern pacfic and indian ocean and central pacific ocean, used same source as above",,
