"","Year","Month","Date","dSST3.4","ONI","ONI_month_window","phase"
"220",1968,"Apr",1968-04-01,-0.3,-0.44,"MAM","Neutral Phase"
"221",1968,"May",1968-05-01,-0.34,-0.04,"AMJ","Neutral Phase"
"222",1968,"Jun",1968-06-01,0.52,0.28,"MJJ","Neutral Phase"
"223",1968,"Jul",1968-07-01,0.66,0.573333333333333,"JJA","Warm Phase/El Nino"
"224",1968,"Aug",1968-08-01,0.54,0.526666666666667,"JAS","Warm Phase/El Nino"
"225",1968,"Sep",1968-09-01,0.38,0.446666666666667,"ASO","Neutral Phase"
"226",1968,"Oct",1968-10-01,0.42,0.55,"SON","Warm Phase/El Nino"
"227",1968,"Nov",1968-11-01,0.85,0.736666666666667,"OND","Warm Phase/El Nino"
"228",1968,"Dec",1968-12-01,0.94,0.976666666666667,"NDJ","Warm Phase/El Nino"
"229",1969,"Jan",1969-01-01,1.14,1.13,"DJF","Warm Phase/El Nino"
"230",1969,"Feb",1969-02-01,1.31,1.08666666666667,"JFM","Warm Phase/El Nino"
"231",1969,"Mar",1969-03-01,0.81,0.95,"FMA","Warm Phase/El Nino"
"232",1969,"Apr",1969-04-01,0.73,0.766666666666667,"MAM","Warm Phase/El Nino"
"233",1969,"May",1969-05-01,0.76,0.613333333333333,"AMJ","Warm Phase/El Nino"
"234",1969,"Jun",1969-06-01,0.35,0.43,"MJJ","Neutral Phase"
"235",1969,"Jul",1969-07-01,0.18,0.363333333333333,"JJA","Neutral Phase"
"236",1969,"Aug",1969-08-01,0.56,0.516666666666667,"JAS","Warm Phase/El Nino"
"237",1969,"Sep",1969-09-01,0.81,0.793333333333333,"ASO","Warm Phase/El Nino"
"238",1969,"Oct",1969-10-01,1.01,0.86,"SON","Warm Phase/El Nino"
"239",1969,"Nov",1969-11-01,0.76,0.81,"OND","Warm Phase/El Nino"
"240",1969,"Dec",1969-12-01,0.66,0.633333333333333,"NDJ","Warm Phase/El Nino"
"241",1970,"Jan",1970-01-01,0.48,0.516666666666667,"DJF","Warm Phase/El Nino"
"242",1970,"Feb",1970-02-01,0.41,0.34,"JFM","Neutral Phase"
"243",1970,"Mar",1970-03-01,0.13,0.293333333333333,"FMA","Neutral Phase"
"244",1970,"Apr",1970-04-01,0.34,0.19,"MAM","Neutral Phase"
"245",1970,"May",1970-05-01,0.1,0.0433333333333333,"AMJ","Neutral Phase"
"246",1970,"Jun",1970-06-01,-0.31,-0.303333333333333,"MJJ","Neutral Phase"
"247",1970,"Jul",1970-07-01,-0.7,-0.626666666666667,"JJA","Cool Phase/La Nina"
"248",1970,"Aug",1970-08-01,-0.87,-0.756666666666667,"JAS","Cool Phase/La Nina"
"249",1970,"Sep",1970-09-01,-0.7,-0.766666666666667,"ASO","Cool Phase/La Nina"
"250",1970,"Oct",1970-10-01,-0.73,-0.736666666666667,"SON","Cool Phase/La Nina"
"251",1970,"Nov",1970-11-01,-0.78,-0.856666666666667,"OND","Cool Phase/La Nina"
"252",1970,"Dec",1970-12-01,-1.06,-1.14666666666667,"NDJ","Cool Phase/La Nina"
"253",1971,"Jan",1971-01-01,-1.6,-1.36,"DJF","Cool Phase/La Nina"
"254",1971,"Feb",1971-02-01,-1.42,-1.38333333333333,"JFM","Cool Phase/La Nina"
"255",1971,"Mar",1971-03-01,-1.13,-1.11666666666667,"FMA","Cool Phase/La Nina"
"256",1971,"Apr",1971-04-01,-0.8,-0.846666666666667,"MAM","Cool Phase/La Nina"
"257",1971,"May",1971-05-01,-0.61,-0.73,"AMJ","Cool Phase/La Nina"
"258",1971,"Jun",1971-06-01,-0.78,-0.736666666666667,"MJJ","Cool Phase/La Nina"
