"","latin_name","taxonomic_rank","common_name","latitude","latitude_location","longitude","longitude_location","year","month","day","source","latin_name_original","hist_range_lat"
"118","Centropages bradyi","species","copepod",46.2667,"Paper",-125.42,"Paper",1997,"","","lab_rev","Centropages bradyi",34.5
"119","Emerita analoga","species","",57.58193,"Google Maps",-154.460353,"Google Maps",1903,"","","lab_rev","Emerita analoga",32.67
"120","Emerita analoga","species","",47.604594,"Google Maps",-122.97650711089,"R generated",1941,"","","lab_rev","Emerita analoga",32.67
"121","Emerita analoga","species","",47.604594,"Google Maps",-122.97650711089,"R generated",1942,"","","lab_rev","Emerita analoga",32.67
"122","Emerita analoga","species","",49.110317,"Google Maps",-123.069991450524,"R generated",1957,"","","lab_rev","Emerita analoga",32.67
"123","Emerita analoga","species","",49.0333,"2016 time point from Paper",-125.703826637543,"R generated",1958,"","","lab_rev","Emerita analoga",32.67
"124","Emerita analoga","species","",49.0333,"2017 time point from Paper",-125.703826637543,"R generated",1959,"","","lab_rev","Emerita analoga",32.67
"125","Emerita analoga","species","",49.0333,"2018 time point from Paper",-125.703826637543,"R generated",1960,"","","lab_rev","Emerita analoga",32.67
"126","Emerita analoga","species","",49.0333,"2019 time point from Paper",-125.703826637543,"R generated",1961,"","","lab_rev","Emerita analoga",32.67
"127","Emerita analoga","species","",50.029345,"Google Maps",-124.972550228271,"R generated",1983,"","","lab_rev","Emerita analoga",32.67
"128","Emerita analoga","species","",47.577678,"Google Maps",-123.007320808685,"R generated",2006,"","","lab_rev","Emerita analoga",32.67
"129","Emerita analoga","species","",47.577678,"Google Maps",-123.007320808685,"R generated",2007,"","","lab_rev","Emerita analoga",32.67
"130","Emerita analoga","species","",47.577678,"Google Maps",-123.007320808685,"R generated",2008,"","","lab_rev","Emerita analoga",32.67
"131","Emerita analoga","species","",47.577678,"Google Maps",-123.007320808685,"R generated",2015,"","","lab_rev","Emerita analoga",32.67
"132","Uca princeps","species","Mexican fiddler crab; princely fiddler crab",33.7,"Paper",-118.05,"Paper",2018,"July","8","lab_rev","Uca princeps",22.8
"133","Anthopleura sola","species","Sunburst Sea Anemone",39.60206,"Paper",-123.78892,"Paper",2018,"May","","lab_rev","Anthopleura sola",37.5
"134","Hippopodius hippopus","species","Siphonophore",38.32486,"Paper",-123.07265,"Paper",2015,"March","29","lab_rev","Hippopodius hippopus",34.5
"135","Physophora hydrostatica","species","Hula Skirt Siphonophore",38.32486,"Paper",-123.07265,"Paper",2015,"April","26","lab_rev","Physophora hydrostatica",36.78
"136","Physophora hydrostatica","species","Hula Skirt Siphonophore",38.32486,"Paper",-123.07265,"Paper",2016,"February","19","lab_rev","Physophora hydrostatica",36.78
"137","Physophora hydrostatica","species","Hula Skirt Siphonophore",40.916195,"Paper",-124.140865,"Paper",2017,"December","","lab_rev","Physophora hydrostatica",36.78
"138","Physophora hydrostatica","species","Hula Skirt Siphonophore",40.916195,"Paper",-124.140865,"Paper",2018,"March","","lab_rev","Physophora hydrostatica",36.78
"139","Chrysaora colorata","species","Purple-striped Jellyfish",38.305175,"Paper",-123.05303,"Paper",1972,"Summer","","lab_rev","Chrysaora colorata",34.5
"140","Chrysaora colorata","species","Purple-striped Jellyfish",38.32486,"Paper",-123.07265,"Paper",1973,"July","20","lab_rev","Chrysaora colorata",34.5
"141","Chrysaora colorata","species","Purple-striped Jellyfish",40.916195,"Paper",-124.140865,"Paper",2006,"October","","lab_rev","Chrysaora colorata",34.5
"142","Chrysaora colorata","species","Purple-striped Jellyfish",40.76099,"Paper",-124.2343,"Paper",2014,"August","29","lab_rev","Chrysaora colorata",34.5
"143","Chrysaora colorata","species","Purple-striped Jellyfish",45.84735,"Paper",-123.96122,"Paper",2017,"February","","lab_rev","Chrysaora colorata",34.5
"144","Cestum veneris","species","Venus' Girdle Ctenophore",48.96887,"Paper",-125.022978,"Paper",2014,"April","1","lab_rev","Cestum veneris",34.5
"145","Cestum veneris","species","Venus' Girdle Ctenophore",48.966325,"Paper",-125.083175,"Paper",2016,"January","","lab_rev","Cestum veneris",34.5
"146","Hespererato vitellina","species","Appleseed Erato Snail",38.41743,"Paper",-123.10728,"Paper",2016,"February","6","lab_rev","Hespererato vitellina",38.312
"147","Thylacodes squamigerus","species","Scaled Tube Snail",38.31874,"Paper",-123.07411,"Paper",2001,"","","lab_rev","Thylacodes squamigerus",34.5
"148","Thylacodes squamigerus","species","Scaled Tube Snail",38.565245,"Paper",-123.33385,"Paper",2017,"February","25","lab_rev","Thylacodes squamigerus",34.5
"149","Creseis virgula","species","Curved Needle Pteropod",34.448789,"Paper",-120.47157,"Paper",1950,"April","","lab_rev","Creseis virgula",34.5
"150","Creseis virgula","species","Curved Needle Pteropod",38.194175,"Paper",-123.4,"Paper",2014,"November","4","lab_rev","Creseis virgula",34.5
"151","Hyalocylis striata","species","Striated Sea Butterfly",38.194175,"Paper",-123.4,"Paper",2014,"November","4","lab_rev","Hyalocylis striata",34.5
"152","Berthella strongi","species","Strong's Sidegill",39.536724,"Paper",-123.772568,"Paper",2016,"July","4","lab_rev","Berthella strongi",37.53
"153","Anteaeolidiella oliviae","species","Olive's Nudibranch",39.4513,"Paper",-123.8139,"Paper",2015,"February","16","lab_rev","Anteaeolidiella oliviae",37.89
"154","Doriopsilla albopunctata","species","White-spotted Sea Goddess",42.2227,"Paper",-124.383,"Paper",2017,"May","","lab_rev","Doriopsilla albopunctata",39.31
"155","Doriopsilla albopunctata","species","White-spotted Sea Goddess",42.2227,"Paper",-124.383,"Paper",2016,"July","8","lab_rev","Doriopsilla albopunctata",39.31
"156","Doriopsilla albopunctata","species","White-spotted Sea Goddess",38.31874,"Paper",-123.07411,"Paper",2014,"July","15","lab_rev","Doriopsilla albopunctata",39.31
"157","Doriopsilla albopunctata","species","White-spotted Sea Goddess",38.31874,"Paper",-123.07411,"Paper",2015,"February","16","lab_rev","Doriopsilla albopunctata",39.31
"158","Doriopsilla fulva","species","White-spotted Dorid",42.2227,"Paper",-124.383,"Paper",2015,"June","","lab_rev","Doriopsilla fulva",33.74
"159","Doriopsilla fulva","species","White-spotted Dorid",45.42947,"Paper",-123.94776,"Paper",2016,"June","","lab_rev","Doriopsilla fulva",33.74
"160","Doriopsilla fulva","species","White-spotted Dorid",45.42947,"Paper",-123.94776,"Paper",2017,"June","","lab_rev","Doriopsilla fulva",33.74
"161","Janolus barbarensis","species","Janolus Nudibranch",38.322295,"Paper",-123.04954,"Paper",2015,"September","11","lab_rev","Janolus barbarensis",37.5
"162","Okenia angelensis","species","Los Angeles Okenia",37.84328,"Paper",-122.39656,"Paper",1964,"September","","lab_rev","Okenia angelensis",37.5
"163","Okenia angelensis","species","Los Angeles Okenia",37.501618,"Paper",-122.483152,"Paper",2015,"July","","lab_rev","Okenia angelensis",37.5
"164","Okenia angelensis","species","Los Angeles Okenia",38.36147,"Paper",-123.069915,"Paper",2017,"May","4","lab_rev","Okenia angelensis",37.5
"165","Phidiana hiltoni","species","Hilton's Nudibranch",38.2542,"Paper",-122.969385,"Paper",2014,"April","9","lab_rev","Phidiana hiltoni",37.89
"166","Phidiana hiltoni","species","Hilton's Nudibranch",38.305185,"Paper",-123.077205,"Paper",2015,"November","25","lab_rev","Phidiana hiltoni",37.89
"167","Panulirus interruptus","species","Spiny Lobster",37.84328,"Paper",-122.39656,"Paper",1940,"March","","lab_rev","Panulirus interruptus",34.5
"168","Panulirus interruptus","species","Spiny Lobster",38.322295,"Paper",-123.04954,"Paper",2001,"","","lab_rev","Panulirus interruptus",34.5
"169","Panulirus interruptus","species","Spiny Lobster",40.021645,"Paper",-124.069105,"Paper",2005,"","","lab_rev","Panulirus interruptus",34.5
"170","Panulirus interruptus","species","Spiny Lobster",40.021645,"Paper",-124.069105,"Paper",2014,"","","lab_rev","Panulirus interruptus",34.5
"171","Panulirus interruptus","species","Spiny Lobster",37.901315,"Paper",-122.720366,"Paper",2011,"September","","lab_rev","Panulirus interruptus",34.5
"172","Panulirus interruptus","species","Spiny Lobster",37.901315,"Paper",-122.720366,"Paper",2013,"September","","lab_rev","Panulirus interruptus",34.5
"173","Panulirus interruptus","species","Spiny Lobster",36.80405,"Paper",-121.945835,"Paper",2015,"April","","lab_rev","Panulirus interruptus",34.5
"174","Panulirus interruptus","species","Spiny Lobster",37.66241,"Paper",-122.37481,"Paper",2016,"August","","lab_rev","Panulirus interruptus",34.5
"175","Panulirus interruptus","species","Spiny Lobster",38.316795,"Paper",-123.06941,"Paper",2017,"September","19","lab_rev","Panulirus interruptus",34.5
"176","Petrolisthes manimaculis","species","Chocolate Porcelain Crab",38.5127,"Paper",-123.24772,"Paper",2006,"","27","lab_rev","Petrolisthes manimaculis",41.05
"177","Petrolisthes manimaculis","species","Chocolate Porcelain Crab",41.770605,"Paper",-124.253885,"Paper",2017,"May","27","lab_rev","Petrolisthes manimaculis",41.05
"178","Portunus xantusii","species","Xantus' Swimming Crab",38.213,"Paper",-122.955465,"Paper",1999,"","","lab_rev","Portunus xantusii",34.5
"179","Portunus xantusii","species","Xantus' Swimming Crab",38.213,"Paper",-122.955465,"Paper",2016,"November","22","lab_rev","Portunus xantusii",34.5
"180","Pleuroncodes planipes","species","Pelagic Red Crab",36.80405,"Paper",-121.945835,"Paper",1960,"","","lab_rev","Pleuroncodes planipes",32.5
"181","Pleuroncodes planipes","species","Pelagic Red Crab",36.80405,"Paper",-121.945835,"Paper",1973,"","","lab_rev","Pleuroncodes planipes",32.5
"182","Pleuroncodes planipes","species","Pelagic Red Crab",37.698795,"Paper",-123.00325,"Paper",1983,"","","lab_rev","Pleuroncodes planipes",32.5
"183","Pleuroncodes planipes","species","Pelagic Red Crab",39.4513,"Paper",-123.8139,"Paper",1985,"","","lab_rev","Pleuroncodes planipes",32.5
"184","Pleuroncodes planipes","species","Pelagic Red Crab",36.80405,"Paper",-121.945835,"Paper",1998,"","","lab_rev","Pleuroncodes planipes",32.5
"185","Pleuroncodes planipes","species","Pelagic Red Crab",36.80405,"Paper",-121.945835,"Paper",2015,"October","","lab_rev","Pleuroncodes planipes",32.5
"186","Pleuroncodes planipes","species","Pelagic Red Crab",36.80405,"Paper",-121.945835,"Paper",2016,"May","","lab_rev","Pleuroncodes planipes",32.5
"187","Pleuroncodes planipes","species","Pelagic Red Crab",44.65821,"Paper",-124.06085,"Paper",2017,"March","1","lab_rev","Pleuroncodes planipes",32.5
